round,class,client_id,class_examples,class_weight,class_shap_weight
7,BRUTEFORCE,3,442,0.3402114356705992,0.2520711333801903
7,BRUTEFORCE,4,123,0.2262805660002981,0.22659572698839722
7,BRUTEFORCE,5,132,0.24820307010023643,0.2623196423484102
7,DDOS,1,1160039,0.3254391830765111,0.20959306653257875
7,DDOS,2,24016,0.1381389281224958,0.212783737112657
7,DDOS,3,575798,0.26609677651957375,0.22129532908692168
7,DDOS,4,37815,0.12565497128935396,0.17163620012506545
7,DDOS,5,65238,0.14467014099206535,0.18469166714277713
7,DOS,1,457,0.06092136033721599,0.10224032047945222
7,DOS,2,58958,0.2234461557712596,0.22424240217343813
7,DOS,3,19342,0.17766530108416917,0.22780369099437028
7,DOS,4,356064,0.3871333893284548,0.22710571581021918
7,DOS,5,8205,0.15083379347890036,0.21860787054252004
7,MIRAI,1,9852,0.16902327570852718,0.19995275288689496
7,MIRAI,2,30104,0.21934578025570667,0.19729889132871672
7,MIRAI,3,93569,0.3138137899656025,0.20205075678418258
7,MIRAI,4,2545,0.13442852550271195,0.19867018225959251
7,MIRAI,5,8040,0.16338862856745173,0.20202741674061325
7,RECON,1,33060,0.3927197585995307,0.18464298523155936
7,RECON,2,589,0.14349228217169424,0.20679208519954762
7,RECON,3,516,0.1411003531872022,0.20714204007202183
7,RECON,4,243,0.12342295261946969,0.1953373783791051
7,RECON,5,3392,0.19926465342210314,0.2060855111177661
7,SPOOFING,1,29,0.10371388720835206,0.19004308540520296
7,SPOOFING,2,5190,0.22126368684203856,0.20995849116135953
7,SPOOFING,3,6742,0.2254614694167375,0.18585188707802974
7,SPOOFING,4,13850,0.29246716213780966,0.2050137492471673
7,SPOOFING,5,1059,0.15709379439506224,0.2091327871082405
7,WEB,1,49,0.15026271451673762,0.20450180517043812
7,WEB,2,286,0.2153378522574462,0.19868901448589266
7,WEB,3,21,0.1274081640177583,0.19195411019889727
7,WEB,4,343,0.2284469381897665,0.20283924765072942
7,WEB,5,670,0.2785443310182914,0.2020158224940426
8,BENIGN,1,21631,0.2562521352158312,0.19277201763382393
8,BENIGN,2,30,0.09257683085574264,0.17324648561839234
8,BENIGN,3,10438,0.2196520536675737,0.21719989499782574
8,BENIGN,4,1789,0.15445539776647482,0.21696045979786713
8,BENIGN,5,26562,0.2770635824943777,0.19982114195209083
8,BRUTEFORCE,1,0,0.0,0.0
8,BRUTEFORCE,2,30,0.17984187434881752,0.24808738952290482
8,BRUTEFORCE,3,442,0.3385074613987362,0.24866318483646427
8,BRUTEFORCE,4,123,0.2395637797862426,0.25316215456028623
8,BRUTEFORCE,5,132,0.2420868844662036,0.25008727108034456
8,DDOS,1,1160039,0.3260037186481393,0.21072213767583525
8,DDOS,2,24016,0.1377530448259396,0.21201197051954465
8,DDOS,3,575798,0.2580409309383893,0.20518363792455288
8,DDOS,4,37815,0.1271896141442834,0.17470548583492437
8,DDOS,5,65238,0.15101269144324825,0.19737676804514298
8,DOS,1,457,0.06580496163970274,0.11200752308442573
8,DOS,2,58958,0.2217749336181533,0.22089995786722555
8,DOS,3,19342,0.1738647033441048,0.2202024955142416
